Indicator Name,Region,Country Code,Country,Year,Sex,Value,LowerBound,UpperBound,NatureData,OriginData,Footnote1,Footnote2,Footnote3,Footnote4,Footnote5,Footnote6,Coverage
Educational attainment (tertiary) of the population aged 25 and older  by sex,Southern Asia,50,Bangladesh,2001,Female,3.49,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-08-06T20:03:04,0,0,0,0,-,0
Educational attainment (tertiary) of the population aged 25 and older  by sex,Southern Asia,50,Bangladesh,2001,Male,4.92,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-08-06T20:03:05,0,0,0,0,-,0
Educational attainment (tertiary) of the population aged 25 and older  by sex,Southern Asia,50,Bangladesh,2001,Both sexes,4.21,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-08-06T20:03:05,0,0,0,0,-,0
Educational attainment (tertiary) of the population aged 25 and older  by sex,Southern Asia,64,Bhutan,2012,Female,2.57,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-08-06T20:03:04,0,0,0,0,-,0
Educational attainment (tertiary) of the population aged 25 and older  by sex,Southern Asia,64,Bhutan,2012,Male,6.59,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-08-06T20:03:05,0,0,0,0,-,0
Educational attainment (tertiary) of the population aged 25 and older  by sex,Southern Asia,64,Bhutan,2012,Both sexes,4.55,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-08-06T20:03:05,0,0,0,0,-,0
Educational attainment (tertiary) of the population aged 25 and older  by sex,Southern Asia,144,Sri Lanka,2008,Female,14.56,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-08-06T20:03:04,0,0,0,0,-,0
Educational attainment (tertiary) of the population aged 25 and older  by sex,Southern Asia,144,Sri Lanka,2008,Male,13.09,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-08-06T20:03:05,0,0,0,0,-,0
Educational attainment (tertiary) of the population aged 25 and older  by sex,Southern Asia,144,Sri Lanka,2008,Both sexes,13.88,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-08-06T20:03:05,0,0,0,0,-,0
Educational attainment (tertiary) of the population aged 25 and older  by sex,Southern Asia,144,Sri Lanka,2009,Female,14.83,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-08-06T20:03:04,0,0,0,0,-,0
