Indicator Name,Region,Country Code,Country,Year,Sex,Age,Location,Occupation,Value,LowerBound,UpperBound,Unit,NatureData,OriginData,Footnote2,Footnote3,Footnote4,Footnote5,Footnote6,Coverage
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider  by sex,Southern Asia,4,Afghanistan,2011,Female,15 years old and over,-,-,2.62,-,-,Percentage,Global monitoring data,-,-,-,-,-,-,-
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider  by sex,Southern Asia,4,Afghanistan,2011,Male,15 years old and over,-,-,15.42,-,-,Percentage,Global monitoring data,-,-,-,-,-,-,-
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider  by sex,Southern Asia,4,Afghanistan,2011,Both sexes,15 years old and over,-,-,9.01,-,-,Percentage,Global monitoring data,-,-,-,-,-,-,-
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider  by sex,Southern Asia,4,Afghanistan,2014,Female,15 years old and over,-,-,3.81,-,-,Percentage,Global monitoring data,-,-,-,-,-,-,-
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider  by sex,Southern Asia,4,Afghanistan,2014,Male,15 years old and over,-,-,15.78,-,-,Percentage,Global monitoring data,-,-,-,-,-,-,-
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider  by sex,Southern Asia,4,Afghanistan,2014,Both sexes,15 years old and over,-,-,9.96,-,-,Percentage,Global monitoring data,-,-,-,-,-,-,-
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider  by sex,Southern Asia,4,Afghanistan,2017,Female,15 years old and over,-,-,7.16,-,-,Percentage,Global monitoring data,-,-,-,-,-,-,-
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider  by sex,Southern Asia,4,Afghanistan,2017,Male,15 years old and over,-,-,22.54,-,-,Percentage,Global monitoring data,-,-,-,-,-,-,-
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider  by sex,Southern Asia,4,Afghanistan,2017,Both sexes,15 years old and over,-,-,14.89,-,-,Percentage,Global monitoring data,-,-,-,-,-,-,-
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider  by sex,Southern Asia,50,Bangladesh,2011,Female,15 years old and over,-,-,26.01,-,-,Percentage,Global monitoring data,-,-,-,-,-,-,-
