Country,Country.Code,HH.Radio,HH.Radio.Year,HH.TV,HH.TV.Year,HH.FixedTel,HH.FixedTel.Year,HH.Mobile,HH.Mobile.Year,HH.Computer,HH.Computer.Year,HH.Internet,HH.Internet.Year,IDV.Computer,IDV.Computer.Year,IDV.Internet,IDV.Internet.Year,IDV.Mobile,IDV.Mobile.Year
Afghanistan,4,,,,,,,,,,,,,,,13.5,2017,,
Albania,8,,2018,99.3,2018,17.1,2018,86.6,2018,20.2,2018,32.9,2018,,,,,,
Algeria,12,52.6,2018,99,2018,27.7,2018,99.1,2018,42.2,2018,74.4,2018,33.3,2018,49,2018,91.7,2018
Andorra,20,,,,,,,,,85.7,2017,94.5,2017,,,91.6,2017,,
Angola,24,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,28,,,,,,,,,,,,,,,,,,
Argentina,32,,,,,,,,,64.3,2017,75.9,2017,44.8,2017,74.3,2017,81.2,2017
Armenia,51,98.9,2016,98.8,2016,62.1,2016,97.7,2016,64.6,2017,64.7,2017,67.9,2016,64.7,2017,,
Australia,36,,,,,,,,,82.4,2017,86.1,2017,,,86.5,2017,,
Austria,40,,,,,,,,,85.4,2017,88.8,2018,85.2,2017,87.5,2018,,
Azerbaijan,31,99.7,2018,100,2018,68.1,2018,91.1,2018,64.1,2018,78.2,2018,71.7,2018,79.8,2018,86.9,2018
Bahamas,44,,,,,,,,,,,,,,,,,,
Bahrain,48,57.6,2018,97.4,2018,13.2,2017,99.8,2017,94.8,2018,98.6,2018,71.3,2015,98.6,2018,100,2018
Bangladesh,50,0.6,2019,50.6,2019,,,,,5.6,2019,37.6,2019,,,15,2017,,
Barbados,52,,,,,,,,,,,,,,,,,,
Belarus,112,,,98.3,2018,92.7,2018,97.3,2018,70,2018,72.4,2018,73.5,2018,79.1,2018,97.2,2018
Belgium,56,,,,,,,,,85.1,2017,87.3,2018,85.4,2017,88.7,2018,97.3,2017
Belize,84,58.7,2019,78.7,2019,7.2,2019,93.6,2019,36.1,2019,57.5,2019,,,,,,
Benin,204,,,,,,,,,,,,,,,20,2017,,
Bhutan,64,23.9,2017,71.5,2017,4,2017,97,2017,23.6,2017,44.3,2017,,,,,,
Bolivia (Plurinational State of),68,43.9,2018,81.2,2018,,,,,24.9,2018,16.2,2018,29.7,2018,44.3,2018,69.7,2018
Bosnia and Herzegovina,70,64.9,2019,98.3,2019,,,90.6,2019,64.8,2019,72,2019,62.2,2019,69.9,2019,,
Botswana,72,,,,,,,,,,,,,,,47,2017,,
Brazil,76,62.4,2018,95.6,2018,24.1,2018,92.8,2018,41.8,2018,66.7,2018,38.6,2018,70.4,2018,88,2018
Brunei Darussalam,96,63,2018,91.9,2018,33.8,2018,94.5,2018,93,2016,53.6,2018,58,2016,90,2016,,
Bulgaria,100,,,,,,,,,63,2017,72.1,2018,60.5,2017,64.8,2018,,
Burkina Faso,854,,,,,,,,,4.8,2015,,,,,16,2017,,
Burundi,108,,,,,,,,,1,2017,0.3,2017,,,2.7,2017,,
Cabo Verde,132,46.4,2018,81.8,2018,20.7,2018,91,2018,37,2018,70.1,2018,32.5,2016,57.2,2017,,
Cambodia,116,42,2017,65.7,2017,1.1,2017,83.8,2017,15,2018,40,2018,27.4,2017,40,2018,,
Cameroon,120,,,,,,,,,16.9,2017,21.7,2017,,,23.2,2017,,
Canada,124,,,,,66.8,2016,87.9,2016,84.1,2016,86.9,2015,,,91,2017,,
Central African Rep.,140,,,,,,,,,,,,,,,,,,
Chad,148,,,,,,,,,,,,,,,,,,
Chile,152,,,,,,,,,60.2,2017,87.5,2017,,,82.3,2017,,
China,156,,,,,,,,,,,,,,,50.3,2015,,
Colombia,170,69.7,2018,90.7,2018,29.2,2018,95.2,2018,41.6,2018,52.7,2018,44.9,2018,64.1,2018,85.2,2018
Comoros,174,,,,,,,,,,,,,,,,,,
Congo (Rep. of the),178,,,,,,,,,,,,,,,,,,
Costa Rica,188,62.1,2017,95.7,2017,36.6,2017,94,2017,50.4,2018,73.1,2018,59.1,2017,74.1,2018,,
Côte d.Ivoire,384,,,,,,,,,5.6,2018,15.9,2018,,,46.8,2018,,
Croatia,191,,,,,,,,,76.2,2018,81.5,2018,69.3,2018,75.3,2018,,
Cuba,192,52,2017,94.9,2017,25.8,2015,47,2015,15.7,2019,28.2,2019,33.1,2019,62.7,2019,44.1,2017
Cyprus,196,,,,,,,,,78.7,2018,86.2,2018,70.3,2015,84.4,2018,,
